"Country Name","Country Code","Indicator Name","Indicator Code","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Afghanistan","AFG","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
